campaign_id|campaign_name|campaign_type|campaign_objective|platform|target_segment|target_country|start_date|end_date|duration_days|budget_usd|actual_spend_usd|budget_utilization_pct|impressions|clicks|click_through_rate_pct|conversions|conversion_rate_pct|revenue_generated_usd|roas|cost_per_click_usd|cost_per_conversion_usd|status|ab_test_variant|utm_source|utm_medium
CAMP0001|Q2 2021 Email - Upsell/Cross-sell|Email|Customer Retention|Mailchimp|New Customers|South Africa|2021-11-15|2022-01-18|64|2325.25|2083.03|89.6|41825|1272|3.04|72|5.66|11131.64|5.34|1.64|28.93|Completed|No Test|mailchimp|email
CAMP0002|Q4 2023 SMS - Lead Generation|SMS|Upsell/Cross-sell|Africa's Talking|At Risk|West Africa|2021-01-31|2021-03-23|51|6934.98|3710.34|53.5|433798|32244|7.43|4037|12.52|500263.29|134.83|0.12|0.92|Active|Control|africa's_talking|sms
CAMP0003|Q2 2024 Email - Win-Back|Email|Lead Generation|Mailchimp|Lost Customers|West Africa|2021-10-24|2022-01-19|87|6636.3|3875.53|58.4|282518|8703|3.08|481|5.53|53995.82|13.93|0.45|8.06|Paused|Variant B|mailchimp|email
CAMP0004|Q1 2021 Display - Seasonal Promotion|Display|Win-Back|Google Display Network|All Customers|Kenya|2021-11-24|2021-12-14|20|1479.49|958.57|64.8|108873|8483|7.79|934|11.01|165324.93|172.47|0.11|1.03|Completed|Variant A|google_display_network|display
CAMP0005|Q1 2022 Push Notification - Customer Retention|Push Notification|New Customer Acquisition|Firebase|All Customers|Nigeria|2022-06-16|2022-07-14|28|5848.74|5508.03|94.2|184892|12625|6.83|457|3.62|69400.54|12.6|0.44|12.05|Completed|Variant A|firebase|push_notification
CAMP0006|Q4 2024 Paid Search - New Customer Acquisition|Paid Search|Upsell/Cross-sell|Google Ads|High Value|Ghana|2021-11-02|2021-11-25|23|4805.21|3375.37|70.2|256982|14879|5.79|1125|7.56|52727.13|15.62|0.23|3.0|Completed|Variant A|google_ads|paid_search
CAMP0007|Q2 2021 Paid Search - Brand Awareness|Paid Search|Lead Generation|Google Ads|At Risk|All Markets|2022-05-30|2022-07-04|35|3681.51|2304.83|62.6|373650|19386|5.19|1699|8.76|162556.46|70.53|0.12|1.36|Draft|Variant B|google_ads|paid_search
CAMP0008|Q3 2024 Email - Seasonal Promotion|Email|Upsell/Cross-sell|Mailchimp|Lost Customers|West Africa|2023-03-16|2023-04-29|44|22956.13|19265.1|83.9|116161|2989|2.57|342|11.44|26617.42|1.38|6.45|56.33|Active|No Test|mailchimp|email
CAMP0009|Q2 2021 Social Media - Brand Awareness|Social Media|Brand Awareness|Meta Ads|Lost Customers|West Africa|2022-01-27|2022-03-05|37|3771.35|1942.79|51.5|218996|13387|6.11|1399|10.45|229957.13|118.36|0.15|1.39|Completed|No Test|meta_ads|social_media
CAMP0010|Q1 2021 Social Media - Seasonal Promotion|Social Media|New Customer Acquisition|Meta Ads|Champions|West Africa|2021-05-25|2021-07-28|64|2307.93|2048.41|88.8|181083|6211|3.43|813|13.09|121483.84|59.31|0.33|2.52|Active|No Test|meta_ads|social_media
CAMP0011|Q3 2023 Email - Seasonal Promotion|Email|Customer Retention|Mailchimp|All Customers|Nigeria|2022-05-16|2022-06-08|23|11291.14|9585.57|84.9|31862|1402|4.4|62|4.42|6507.63|0.68|6.84|154.61|Completed|Variant B|mailchimp|email
CAMP0012|Q1 2022 Display - New Customer Acquisition|Display|Seasonal Promotion|Google Display Network|At Risk|East Africa|2023-08-04|2023-09-02|29|7586.43|4002.16|52.8|108209|1870|1.73|198|10.59|33314.76|8.32|2.14|20.21|Completed|Control|google_display_network|display
CAMP0013|Q2 2024 SMS - Brand Awareness|SMS|Seasonal Promotion|Africa's Talking|High Value|Kenya|2022-04-26|2022-07-23|88|6180.29|4629.13|74.9|9944|306|3.08|11|3.59|1031.93|0.22|15.13|420.83|Completed|Variant A|africa's_talking|sms
CAMP0014|Q4 2023 Display - Brand Awareness|Display|Lead Generation|Google Display Network|Champions|Global|2023-08-05|2023-08-31|26|11521.54|8088.99|70.2|248908|11708|4.7|962|8.22|158383.07|19.58|0.69|8.41|Completed|Variant B|google_display_network|display
CAMP0015|Q1 2023 Social Media - Product Launch|Social Media|Product Launch|Meta Ads|At Risk|Kenya|2021-06-07|2021-08-28|82|5007.62|2899.76|57.9|44072|1885|4.28|166|8.81|4278.4|1.48|1.54|17.47|Completed|No Test|meta_ads|social_media
