product_id|product_name|category|subcategory|brand|sku|unit_cost_usd|unit_price_usd|gross_margin_pct|weight_kg|is_digital|is_perishable|stock_quantity|reorder_level|supplier_country|launch_date|is_active|rating_avg|review_count|tags
PROD00001|KidzWorld Safety Gate Lite|Baby & Kids|Safety Gate|KidzWorld|SKU-84874|71.86|134.92|46.7|2.04|0|0|4742|90|South Africa|2018-10-04|1|4.2|1196|baby & kids,safety-gate,kidzworld
PROD00002|WellnessPlus Watch Lite|Fashion|Watch|WellnessPlus|SKU-61316|42.61|67.29|36.7|9.64|0|0|1789|191|Nigeria|2019-08-31|0|3.7|3793|fashion,watch,wellnessplus
PROD00003|LagosLux Eye Shadow Lite|Beauty & Personal Care|Eye Shadow|LagosLux|SKU-31019|18.2|39.42|53.8|2.13|1|0|118|149|China|2022-01-20|1|3.3|4162|beauty & personal care,eye-shadow,lagoslux
PROD00004|GlobalEdge Earbuds Lite|Electronics|Earbuds|GlobalEdge|SKU-39251|95.36|332.6|71.3|9.62|0|0|1403|38|China|2023-04-17|1|3.9|1660|electronics,earbuds,globaledge
PROD00005|GlobalEdge Toys|Baby & Kids|Toys|GlobalEdge|SKU-48090|96.59|181.78|46.9|5.49|0|1|1095|11|Kenya|2023-01-14|1|4.0|1128|baby & kids,toys,globaledge
PROD00006|KidzWorld Thermometer Lite|Health & Wellness|Thermometer|KidzWorld|SKU-74232|40.25|113.27|64.5|6.17|0|0|1714|171|Nigeria|2021-08-29|1|4.2|2680|health & wellness,thermometer,kidzworld
PROD00007|BrightHome Baby Food|Baby & Kids|Baby Food|BrightHome|SKU-20585|16.43|47.48|65.4|0.42|0|1|4405|75|USA|2019-06-12|1|3.2|390|baby & kids,baby-food,brighthome
PROD00008|SwiftBuy Smartphone|Electronics|Smartphone|SwiftBuy|SKU-15018|64.5|225.21|71.4|1.62|0|0|1891|10|India|2021-01-17|1|4.7|2249|electronics,smartphone,swiftbuy
PROD00009|WellnessPlus Sunglasses|Fashion|Sunglasses|WellnessPlus|SKU-85120|51.64|94.5|45.4|1.5|0|0|246|165|Kenya|2022-08-30|1|3.3|3457|fashion,sunglasses,wellnessplus
PROD00010|TechNova Eye Shadow Pro|Beauty & Personal Care|Eye Shadow|TechNova|SKU-11212|125.91|300.88|58.2|2.56|0|0|2082|105|Germany|2020-11-01|1|2.8|815|beauty & personal care,eye-shadow,technova
PROD00011|TechNova Hand Sanitizer Lite|Health & Wellness|Hand Sanitizer|TechNova|SKU-48030|41.79|99.25|57.9|7.91|0|0|225|35|South Africa|2019-01-25|1|3.5|3382|health & wellness,hand-sanitizer,technova
PROD00012|LearningLeap Handbag|Fashion|Handbag|LearningLeap|SKU-51661|3.53|5.9|40.2|8.2|0|0|3341|167|Nigeria|2019-02-09|1|4.5|1000|fashion,handbag,learningleap
PROD00013|GlobalEdge Granola Pro|Food & Beverages|Granola|GlobalEdge|SKU-31318|107.13|233.78|54.2|1.42|0|0|393|93|India|2023-02-11|1|4.2|1925|food & beverages,granola,globaledge
PROD00014|PurePlus Jacket Pro|Fashion|Jacket|PurePlus|SKU-50116|111.8|380.65|70.6|5.02|0|0|2784|183|India|2022-01-31|1|3.0|948|fashion,jacket,pureplus
